Object Type	PID	Title	Path	Label	Depth	Deleted	Date Added	Date Updated	MIME Type	Checksum	File Size (bytes)	Number of Children
File	uuid:228846c4-209c-4a09-887a-ab4cea24ce92	"""Belonging"" (detail)"	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Belonging"" (detail)"	2000_Wilder_s0010.tif	5	FALSE	8/20/14 11:10	8/20/14 11:12	image/tiff	4392a1855a285361cdbad4944883cc3a	30466132	
File	uuid:348b6ebf-5f1b-408b-86a6-53aad0c7286a	"""Desire"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Desire"""	2000_Wilder_s0011.tif	5	FALSE	8/20/14 11:10	8/20/14 11:13	image/tiff	9169269e2fe29f9b344d5418fc374f57	30200992	
File	uuid:a22c1e84-bdee-4c5d-a8f4-537e367e50b8	"""Desire"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Desire"""	2000_Wilder_s0012.tif	5	FALSE	8/20/14 11:11	8/20/14 11:13	image/tiff	0f63c3d1ac908c05ce797d6fd7ce8248	30286584	
File	uuid:1e3d2c9d-46c1-42d6-abc5-b290206d7627	"""Desire"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Desire"""	2000_Wilder_s0013.tif	5	FALSE	8/20/14 11:11	8/20/14 11:13	image/tiff	0d1186fea5af84905e8bcd8f0c23c4fe	30193866	
File	uuid:f2f9a6f7-ef0d-4c7f-8506-a2a2a6b0cf84	"""Desire"""	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/""Desire"""	2000_Wilder_s0014.tif	5	FALSE	8/20/14 11:11	8/20/14 11:14	image/tiff	718ae2ac60992a57fa301142012dfdf6	30174462	
File	uuid:3bb3d381-6e02-4c9c-912a-fe01a5676372	Inner chamber	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Inner chamber"	2000_Wilder_s0015.tif	5	FALSE	8/20/14 11:11	8/20/14 11:14	image/tiff	bbff067158b8ada766b4cb22cfd7eb19	30536142	
File	uuid:77e48a71-bb18-4655-bb37-c790fa88acf0	Inner chamber	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Inner chamber"	2000_Wilder_s0016.tif	5	FALSE	8/20/14 11:12	8/20/14 11:13	image/tiff	6971f0e4742992f903c2f0d3465cfc63	30678172	
File	uuid:17fffab9-0489-477d-b692-2fc2d17e0f6f	Inner chamber	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Inner chamber"	2000_Wilder_s0017.tif	5	FALSE	8/20/14 11:12	8/20/14 11:14	image/tiff	f1679b305b0cac0dabb7d14bfa8469e5	30567258	
File	uuid:898ac1fc-06aa-4360-8a26-f5817757065b	Thesis Statement	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Thesis Statement"	2000_Wilder.pdf	5	FALSE	8/20/14 11:13	8/20/14 11:14	application/pdf	96f66cc99418a05c37f5978807e4f031	4627323	
Aggregate	uuid:d08303d1-9c3a-4593-b0b7-fc918ad8d125	Thesis Statement	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement"	2000_Wilder	4	FALSE	8/20/14 10:59	8/20/14 10:59				34
File	uuid:f94b4384-b587-4dc7-b2a9-80166e691667	1994_Lea_0001.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1994_Lea_0001.tif"	1994_Lea_0001.tif	5	FALSE	8/19/14 22:02	8/19/14 23:11	image/tiff	97d14bf68972c683d7756d77d2fcd320	47864570	
File	uuid:12a0beae-a2b2-4e2f-955f-cb7ae8d9a239	1994_Lea_0002.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1994_Lea_0002.tif"	1994_Lea_0002.tif	5	FALSE	8/19/14 22:03	8/19/14 23:11	image/tiff	cdfbed056138e70fd62634b3982719f1	48254954	
File	uuid:16b1d100-1a73-4d7c-9225-7186b328984b	1994_Lea_0003.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1994_Lea_0003.tif"	1994_Lea_0003.tif	5	FALSE	8/19/14 22:03	8/19/14 23:12	image/tiff	a62596f43554499ef6100dac4a547308	47956892	
